"","ensembl_gene_id","res","Identifier"
"1","ENSG00000064225","Upregulated","NM_001271142"
"2","ENSG00000197905","Upregulated","NM_003213"
"3","ENSG00000148429","Downregulated","NM_001080491"
"4","ENSG00000158458","Upregulated","NM_001184935"
"5","ENSG00000115641","Upregulated","NM_001039492"
"6","ENSG00000070087","Upregulated","NM_002628"
"7","ENSG00000174600","Upregulated","NM_001142343"
"8","ENSG00000162733","Upregulated","NM_001014796"
"9","ENSG00000139687","Downregulated","NM_000321"
"10","ENSG00000114573","Downregulated","NM_001690"
"11","ENSG00000115232","Downregulated","NM_000885"
"12","ENSG00000183785","Upregulated","NM_001193414"
"13","ENSG00000147650","Upregulated","NM_001135703"
"14","ENSG00000004468","Downregulated","NM_001775"
"15","ENSG00000066032","Upregulated","NM_001164883"
"16","ENSG00000182518","Upregulated","NM_001166699"
"17","ENSG00000141198","Upregulated","NM_001321173"
"18","ENSG00000099977","Upregulated","NM_001084392"
"19","ENSG00000146592","Upregulated","NM_001011666"
"20","ENSG00000134775","Upregulated","NM_001281739"
"21","ENSG00000162882","Upregulated","NM_012205"
"22","ENSG00000134138","Upregulated","NM_001220482"
"23","ENSG00000106025","Upregulated","NM_012338"
"24","ENSG00000204619","Upregulated","NM_021959"
"25","ENSG00000137766","Upregulated","NM_001080534"
"26","ENSG00000135750","Upregulated","NM_002245"
"27","ENSG00000047648","Upregulated","NM_001174"
"28","ENSG00000185614","Upregulated","NM_001366281"
"29","ENSG00000135052","Upregulated","NM_001099268"
"30","ENSG00000162881","Upregulated","NM_148962"
"31","ENSG00000243156","Upregulated","NM_001122731"
"32","ENSG00000163207","Upregulated","NM_005547"
"33","ENSG00000169129","Upregulated","NM_001001936"
"34","ENSG00000148834","Upregulated","NM_001191002"
"35","ENSG00000106689","Upregulated","NM_004789"
"36","ENSG00000120915","Upregulated","NM_001256482"
"37","ENSG00000136156","Downregulated","NM_021999"
"38","ENSG00000132294","Downregulated","NM_001323553"
