"","ensembl_gene_id","res","Identifier"
"1","ENSG00000164078","Upregulated","NM_001244937"
"2","ENSG00000086288","Upregulated","NM_016616"
"3","ENSG00000158458","Upregulated","NM_001184935"
"4","ENSG00000174600","Upregulated","NM_001142343"
"5","ENSG00000101336","Upregulated","NM_001172129"
"6","ENSG00000243156","Upregulated","NM_001122731"
"7","ENSG00000163207","Upregulated","NM_005547"
"8","ENSG00000184292","Upregulated","NM_002353"
"9","ENSG00000108576","Upregulated","NM_001045"
"10","ENSG00000013016","Upregulated","NM_014600"
"11","ENSG00000035720","Downregulated","NM_001317769"
"12","ENSG00000198825","Upregulated","NM_001243194"
"13","ENSG00000004468","Downregulated","NM_001775"
"14","ENSG00000152804","Upregulated","NM_002729"
"15","ENSG00000115318","Upregulated","NM_001289164"
"16","ENSG00000274429","Upregulated","NM_004747"
"17","ENSG00000183785","Upregulated","NM_001193414"
"18","ENSG00000162733","Upregulated","NM_001014796"
"19","ENSG00000108370","Upregulated","NM_001081955"
"20","ENSG00000082074","Upregulated","NM_001243093"
"21","ENSG00000184905","Upregulated","NM_080390"
"22","ENSG00000198046","Upregulated","NM_001321355"
"23","ENSG00000027075","Upregulated","NM_006255"
"24","ENSG00000172183","Downregulated","NM_001303233"
"25","ENSG00000105492","Upregulated","NM_001177547"
"26","ENSG00000100284","Upregulated","NM_001135729"
"27","ENSG00000133424","Upregulated","NM_001362949"
"28","ENSG00000135480","Upregulated","NM_005556"
"29","ENSG00000188816","Upregulated","NM_005519"
"30","ENSG00000188620","Upregulated","NM_001105574"
"31","ENSG00000164124","Upregulated","NM_018342"
"32","ENSG00000112378","Upregulated","NM_022121"
"33","ENSG00000034510","Downregulated","NM_021103"
"34","ENSG00000197822","Upregulated","NM_001205254"
"35","ENSG00000147650","Upregulated","NM_001135703"
"36","ENSG00000105866","Upregulated","NM_001326542"
"37","ENSG00000111335","Downregulated","NM_001032731"
"38","ENSG00000132465","Downregulated","NM_144646"
"39","ENSG00000137166","Upregulated","NM_001012426"
"40","ENSG00000151929","Upregulated","NM_004281"
"41","ENSG00000115325","Upregulated","NM_001197260"
"42","ENSG00000112699","Downregulated","NM_001253846"
"43","ENSG00000203995","Upregulated","NM_001004339"
"44","ENSG00000213462","Upregulated","NM_001007253"
"45","ENSG00000103381","Upregulated","NM_001099455"
"46","ENSG00000132694","Upregulated","NM_001377418"
"47","ENSG00000128791","Upregulated","NM_020648"
"48","ENSG00000139116","Upregulated","NM_001173463"
"49","ENSG00000133104","Upregulated","NM_001142294"
"50","ENSG00000036448","Upregulated","NM_003970"
"51","ENSG00000204482","Upregulated","NM_001166538"
"52","ENSG00000172578","Upregulated","NM_130446"
"53","ENSG00000138061","Upregulated","NM_000104"
"54","ENSG00000120915","Upregulated","NM_001256482"
"55","ENSG00000124788","Downregulated","NM_000332"
"56","ENSG00000075240","Upregulated","NM_001366660"
"57","ENSG00000158497","Upregulated","NM_021182"
"58","ENSG00000157613","Upregulated","NM_052854"
"59","ENSG00000152939","Upregulated","NM_001038603"
"60","ENSG00000229253","Upregulated","NM_001145338"
"61","ENSG00000152422","Downregulated","NM_001318012"
"62","ENSG00000185442","Upregulated","NM_207446"
"63","ENSG00000125351","Downregulated","NM_023010"
"64","ENSG00000001497","Upregulated","NM_001170649"
"65","ENSG00000196329","Upregulated","NM_018384"
"66","ENSG00000125970","Downregulated","NM_007367"
"67","ENSG00000073861","Upregulated","NM_013351"
"68","ENSG00000243927","Downregulated","NM_032476"
"69","ENSG00000105717","Upregulated","NM_025245"
"70","ENSG00000177556","Upregulated","NM_004045"
"71","ENSG00000121858","Downregulated","NM_001190942"
"72","ENSG00000160796","Upregulated","NM_001365116"
"73","ENSG00000117862","Downregulated","NM_015913"
"74","ENSG00000254415","Upregulated","NM_001098612"
"75","ENSG00000165168","Downregulated","NM_000397"
"76","ENSG00000156113","Upregulated","NM_001014797"
"77","ENSG00000112394","Upregulated","NM_018593"
"78","ENSG00000140830","Downregulated","NM_001142317"
"79","ENSG00000188342","Downregulated","NM_004128"
"80","ENSG00000278311","Downregulated","NM_024835"
"81","ENSG00000046604","Upregulated","NM_001943"
"82","ENSG00000188227","Upregulated","NM_001013659"
"83","ENSG00000111321","Upregulated","NM_001270987"
"84","ENSG00000163565","Downregulated","NM_001206567"
"85","ENSG00000166313","Upregulated","NM_001164"
"86","ENSG00000101000","Upregulated","NM_006404"
"87","ENSG00000198794","Upregulated","NM_001178111"
"88","ENSG00000152229","Upregulated","NM_024430"
"89","ENSG00000156587","Downregulated","NM_004223"
"90","ENSG00000188266","Upregulated","NM_001013619"
"91","ENSG00000081059","Upregulated","NM_001134851"
"92","ENSG00000115526","Upregulated","NM_004854"
"93","ENSG00000069493","Downregulated","NM_001004419"
"94","ENSG00000106392","Downregulated","NM_020156"
"95","ENSG00000023171","Upregulated","NM_001286563"
"96","ENSG00000130164","Downregulated","NM_000527"
"97","ENSG00000182732","Upregulated","NM_001204416"
"98","ENSG00000162882","Upregulated","NM_012205"
"99","ENSG00000265808","Downregulated","NM_004892"
"100","ENSG00000213088","Upregulated","NM_001122951"
"101","ENSG00000157601","Downregulated","NM_001144925"
"102","ENSG00000131378","Upregulated","NM_015150"
"103","ENSG00000013725","Upregulated","NM_001254750"
"104","ENSG00000064655","Upregulated","NM_005244"
